listing_id,from_class,to_class,images,reason
7434187,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.982 on 2 exterior shots; year unknown (no longer listed)
7434199,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.967 on 5 exterior shots; year unknown (no longer listed)
7435247,chevrolet_tracker,chevrolet_tracker_2,9,visual vote p_new=0.975 on 8 exterior shots; year unknown (no longer listed)
7435864,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7436169,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
7436173,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7447515,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.787 on 4 exterior shots; year unknown (no longer listed)
7448010,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.902 on 4 exterior shots; year unknown (no longer listed)
7448035,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.965 on 4 exterior shots; year unknown (no longer listed)
7448050,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.751 on 2 exterior shots; year unknown (no longer listed)
7448122,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.978 on 6 exterior shots; year unknown (no longer listed)
7448229,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.8 on 2 exterior shots; year unknown (no longer listed)
7448436,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.991 on 5 exterior shots; year unknown (no longer listed)
7449868,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7450071,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7452363,chevrolet_tracker,chevrolet_tracker_2,1,listing year new-generation (site card) = newer generation; visual vote new
7453508,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
7454571,chevrolet_tracker,chevrolet_tracker_2,1,listing year new-generation (site card) = newer generation; visual vote new
7461697,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7463630,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.974 on 1 exterior shots; year unknown (no longer listed)
7464003,chevrolet_tracker,chevrolet_tracker_2,7,visual vote p_new=0.991 on 6 exterior shots; year unknown (no longer listed)
7464479,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.854 on 3 exterior shots; year unknown (no longer listed)
7464562,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.987 on 4 exterior shots; year unknown (no longer listed)
7464716,chevrolet_tracker,chevrolet_tracker_2,7,visual vote p_new=0.982 on 5 exterior shots; year unknown (no longer listed)
7464780,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.849 on 5 exterior shots; year unknown (no longer listed)
7464782,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.973 on 5 exterior shots; year unknown (no longer listed)
7464783,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.991 on 1 exterior shots; year unknown (no longer listed)
7465336,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.971 on 2 exterior shots; year unknown (no longer listed)
7465693,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.971 on 4 exterior shots; year unknown (no longer listed)
7466630,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.942 on 3 exterior shots; year ambiguous (transition year)
7466706,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7467234,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7468402,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.977 on 6 exterior shots; year unknown (no longer listed)
7470616,chevrolet_tracker,chevrolet_tracker_2,7,listing year new-generation (site card) = newer generation; visual vote new
7470641,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.971 on 5 exterior shots; year ambiguous (transition year)
7471212,chevrolet_tracker,chevrolet_tracker_2,1,listing year new-generation (site card) = newer generation; visual vote new
7472375,chevrolet_tracker,chevrolet_tracker_2,6,listing year new-generation (site card) = newer generation; visual vote new
7480214,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.966 on 5 exterior shots; year unknown (no longer listed)
7480378,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.846 on 2 exterior shots; year unknown (no longer listed)
7481602,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.949 on 3 exterior shots; year unknown (no longer listed)
7482217,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.987 on 4 exterior shots; year unknown (no longer listed)
7482247,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.83 on 4 exterior shots; year unknown (no longer listed)
7483496,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7483497,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7485356,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.986 on 4 exterior shots; year unknown (no longer listed)
7485507,chevrolet_tracker,chevrolet_tracker_2,6,listing year new-generation (site card) = newer generation; visual vote new
7487089,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.902 on 3 exterior shots; year unknown (no longer listed)
7497186,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.833 on 3 exterior shots; year unknown (no longer listed)
7497213,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.956 on 4 exterior shots; year unknown (no longer listed)
7498239,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.839 on 3 exterior shots; year unknown (no longer listed)
7498369,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.995 on 4 exterior shots; year unknown (no longer listed)
7498451,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.983 on 3 exterior shots; year unknown (no longer listed)
7498756,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.972 on 3 exterior shots; year unknown (no longer listed)
7500633,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7502150,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
7502251,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7502334,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.723 on 4 exterior shots; year unknown (no longer listed)
7503135,chevrolet_tracker,chevrolet_tracker_2,4,listing year new-generation (site card) = newer generation; visual vote new
7504060,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
7400034,chevrolet_malibu,chevrolet_malibu2,7,visual vote p_new=0.995 on 7 exterior shots; year unknown (no longer listed)
7400103,chevrolet_malibu,chevrolet_malibu2,1,visual vote p_new=0.988 on 1 exterior shots; year unknown (no longer listed)
7401596,chevrolet_malibu,chevrolet_malibu2,8,visual vote p_new=0.851 on 7 exterior shots; year unknown (no longer listed)
7432403,chevrolet_malibu,chevrolet_malibu2,6,visual vote p_new=0.985 on 4 exterior shots; year unknown (no longer listed)
7436388,chevrolet_malibu,chevrolet_malibu2,10,listing year new-generation (site card) = newer generation; visual vote new
7448366,chevrolet_malibu,chevrolet_malibu2,2,visual vote p_new=0.99 on 2 exterior shots; year unknown (no longer listed)
7487234,chevrolet_malibu,chevrolet_malibu2,10,listing year new-generation (site card) = newer generation; visual vote new
7487252,chevrolet_malibu,chevrolet_malibu2,6,listing year new-generation (site card) = newer generation; visual vote new
